prompt,corrupted_prompt,answer
Solve the following and respond with only the final answer: What is 95 plus 29?,Solve the following and respond with only the final answer: What is 95 plus 71?,124
Solve the following and respond with only the final answer: 24+67=,Solve the following and respond with only the final answer: 24+68=,91
Solve the following and respond with only the final answer: What is 37 plus 79?,Solve the following and respond with only the final answer: What is 37 plus 80?,116
Solve the following and respond with only the final answer: What is 13 plus 35?,Solve the following and respond with only the final answer: What is 13 plus 35?,48
Solve the following and respond with only the final answer: What is 38 plus 74?,Solve the following and respond with only the final answer: What is 38 plus 83?,112
Solve the following and respond with only the final answer: What is 57 plus 64?,Solve the following and respond with only the final answer: What is 57 plus 68?,121
Solve the following and respond with only the final answer: 10+51=,Solve the following and respond with only the final answer: 10+13=,61
Solve the following and respond with only the final answer: 26+76=,Solve the following and respond with only the final answer: 26+66=,102
Solve the following and respond with only the final answer: What is 32 plus 70?,Solve the following and respond with only the final answer: What is 32 plus 20?,102
Solve the following and respond with only the final answer: What is 41 plus 32?,Solve the following and respond with only the final answer: What is 41 plus 85?,73
Solve the following and respond with only the final answer: What is 68 plus 52?,Solve the following and respond with only the final answer: What is 68 plus 34?,120
Solve the following and respond with only the final answer: 79+29=,Solve the following and respond with only the final answer: 79+86=,108
